1.0000000000,0.6366197724,0.0000181198,
2.0000000000,0.1366197724,0.0000450611,
3.0000000000,0.0592695032,0.0000541210,
4.0000000000,0.0330663818,0.0000619888,
5.0000000000,0.0210830649,0.0000700951,
6.0000000000,0.0146113044,0.0000779629,
7.0000000000,0.0107217341,0.0000860691,
8.0000000000,0.0082023359,0.0000941753,
9.0000000000,0.0064773480,0.0001020432,
10.0000000000,0.0052446209,0.0001111031,
20.0000000000,0.0013095356,0.0001251698,
30.0000000000,0.0005818828,0.0001411438,
40.0000000000,0.0003272829,0.0001599789,
50.0000000000,0.0002094533,0.0001840591,
60.0000000000,0.0001454508,0.0002100468,
70.0000000000,0.0001068605,0.0002391338,
80.0000000000,0.0000818144,0.0002720356,
90.0000000000,0.0000646431,0.0003080368,
100.0000000000,0.0000523607,0.0003480911,
